Vatican City;Vatican City;primary;825
Alofi;Niue;primary;1611
Basse-Terre;Guadeloupe;primary;307
Hagta;Guam;primary;1051
Marigot;Saint Martin;primary;
Jamestown;Saint Helena, Ascension, And Tristan Da Cunha;primary;714
Brades;Montserrat;primary;391
Philipsburg;Sint Maarten;primary;
Yaren;Nauru;primary;
Pristina;Kosovo;primary;
Gustavia;Saint Barthelemy;primary;
Road Town;British Virgin Islands;primary;
Ngerulmud;Palau;primary;271
Saint-Pierre;Saint Pierre And Miquelon;primary;
The Valley;Anguilla;primary;
Mata-Utu;Wallis And Futuna;primary;
Kingston;Norfolk Island;primary;
Longyearbyen;Svalbard;primary;
Tifariti;Morocco;primary;
Adamstown;Pitcairn Islands;primary;
Flying Fish Cove;Christmas Island;primary;
King Edward Point;South Georgia And South Sandwich Islands;primary;
Bareilly;India;;1000000
Quang Ha;Vietnam;;1000000
Xingcheng;China;minor;993000
Dongtai;China;minor;990306
Al Mansurah;Egypt;admin;960423
